_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin
28.88487,1082.57629,0.05025,0,11.10069,16.60069,3.35351,1.32314,172.67926,385.63681,385.63666,1.52265,443.78293,443.78275,0.67235,193.20526,1.40877,0.07253,0.00054,3.19815,-0.07923,190.48524,0.32548,-0.07516,3.52071,-1.41392,190.32716,189.88052,-0.44664,188.79922,26.54443,82.36815,44363.79688,44039.82422,322.49277,44363.80078,26.5,83,0.49749
29.52318,1082.66235,0.13638,0,11.10071,16.60071,3.35354,6.75055,172.66823,385.61575,385.61063,7.76839,443.7587,443.75281,0.67231,167.54927,1.42112,0.07306,0.0009,3.20054,-0.07758,190.47672,0.43,-0.07071,3.62745,-1.48957,190.31601,189.8694,-0.44662,188.78801,26.54428,82.36812,44364.17969,44039.41406,323.27979,44364.18359,26.5,83,0.95354
29.78271,1082.79773,0.27177,0,11.10075,16.60075,3.35358,20.57982,172.64932,385.58066,385.56589,23.68283,443.71832,443.70132,0.67225,148.70351,1.32561,0.0659,0.0008,2.93911,-0.08005,190.46288,0.57673,-0.06363,3.51244,-1.6089,190.30037,189.85379,-0.44658,188.75668,26.54404,82.36807,44364.97266,44040.28906,323.19974,44364.97656,26.5,83,1
29.88686,1082.90198,0.37593,0,11.10078,16.60078,3.35361,33.44924,172.63617,385.55835,385.5354,38.49269,443.69266,443.66623,0.67221,149.25113,1.19264,0.05659,0.00027,2.61085,-0.08605,190.45239,0.65303,-0.05898,3.26018,-1.70464,190.28874,189.84218,-0.44656,188.72679,26.54386,82.36803,44365.70703,44041.83594,322.38644,44365.71094,26.5,83,1
29.99324,1083.0083,0.48231,0,11.10081,16.60081,3.35363,47.52222,172.62578,385.54251,385.51578,54.6876,443.67441,443.64365,0.67218,160.63156,1.05864,0.04796,-0.00043,2.246,-0.0948,190.44205,0.691,-0.05601,2.93289,-1.8135,190.27623,189.8297,-0.44654,188.69339,26.54367,82.368,44366.52344,44043.48047,321.55585,44366.52734,26.5,83,1
30.09912,1083.11414,0.58818,0,11.10084,16.60084,3.35366,61.58153,172.61847,385.53372,385.50629,70.86676,443.66431,443.63272,0.67217,179.46341,0.9393,0.04119,-0.00123,1.92134,-0.10458,190.4321,0.68987,-0.05549,2.60659,-1.93809,190.2626,189.81609,-0.44651,188.6568,26.54348,82.36796,44367.35547,44045.14062,320.72931,44367.35938,26.5,83,1
30.1873,1083.20239,0.67636,0,11.10086,16.60086,3.35369,72.99186,172.61475,385.53113,385.50494,83.99754,443.66132,443.6312,0.67216,198.56831,0.86778,0.03751,-0.00182,1.71599,-0.11233,190.42395,0.66466,-0.05726,2.37552,-2.05622,190.25012,189.80363,-0.44649,188.62259,26.54333,82.36792,44368.03125,44046.50781,320.04108,44368.03516,26.5,83,1
30.24017,1083.25525,0.72924,0,11.10087,16.60087,3.3537,79.50812,172.61284,385.5314,385.50687,91.49631,443.66162,443.63339,0.67216,210.45219,0.82573,0.03551,-0.00223,1.62736,-0.11637,190.41905,0.64135,-0.05939,2.26326,-2.13295,190.2422,189.79572,-0.44648,188.59958,26.54324,82.3679,44368.42188,44047.30859,319.62839,44368.42578,26.5,83,1
30.41319,1083.39893,0.87288,0,11.10091,16.60091,3.35374,96.29535,172.61136,385.53641,385.51611,110.81471,443.66739,443.64404,0.67217,242.57397,0.79219,0.03393,-0.00274,1.53531,-0.12321,190.40526,0.56339,-0.06758,2.09232,-2.36293,190.21886,189.77242,-0.44645,188.52583,26.54298,82.36785,44369.39453,44049.40625,318.50723,44369.39844,26.5,83,1
30.5087,1083.49438,0.96839,0,11.10094,16.60094,3.35377,106.29843,172.61131,385.54221,385.52618,122.32606,443.67407,443.65561,0.67218,261.11493,0.80877,0.03459,-0.00275,1.57942,-0.12361,190.39534,0.51019,-0.07376,2.08263,-2.52695,190.20221,189.75578,-0.44642,188.46481,26.54282,82.36782,44369.97266,44050.72656,317.76166,44369.97656,26.5,83,1
30.6257,1083.61145,1.08539,0,11.10097,16.60097,3.3538,117.2912,172.61209,385.54987,385.53702,134.9763,443.68289,443.66809,0.67219,279.28824,0.86071,0.0369,-0.00232,1.71766,-0.11926,190.38184,0.45656,-0.07979,2.1666,-2.73078,190.18088,189.73448,-0.4464,188.37465,26.54261,82.36777,44370.60547,44052.27734,316.84836,44370.60938,26.5,83,1
30.72243,1083.70813,1.18213,0,11.101,16.601,3.35383,125.39259,172.61249,385.55518,385.54401,144.29922,443.689,443.67615,0.6722,290.19699,0.91795,0.03967,-0.00171,1.8727,-0.11235,190.36935,0.42742,-0.08246,2.29207,-2.89394,190.16261,189.71623,-0.44638,188.28731,26.54244,82.36774,44371.08594,44053.51172,316.09338,44371.08984,26.5,83,1
30.84535,1083.83105,1.30505,0,11.10103,16.60103,3.35386,134.42462,172.61171,385.55875,385.54858,154.6931,443.69308,443.6814,0.67221,299.10248,0.99309,0.04363,-0.00078,2.07705,-0.10135,190.35158,0.41394,-0.08232,2.48254,-3.08462,190.13863,189.69228,-0.44635,188.16054,26.54222,82.3677,44371.66797,44054.5625,315.61963,44371.67188,26.5,83,1
30.91991,1083.90564,1.3796,0,11.10106,16.60106,3.35388,139.27049,172.61046,385.55872,385.54868,160.26962,443.69305,443.68152,0.67221,302.31256,1.02807,0.04559,-0.00031,2.18582,-0.09473,190.33978,0.4179,-0.08051,2.59508,-3.18796,190.12367,189.67734,-0.44633,188.07646,26.54209,82.36767,44372.01562,44055.15625,315.37906,44372.01953,26.5,83,1
30.99537,1083.98108,1.45506,0,11.10108,16.60108,3.3539,143.69589,172.60794,385.55692,385.54639,165.36229,443.69101,443.67886,0.67221,304.37787,1.06699,0.04789,0.00024,2.27474,-0.08884,190.32712,0.42986,-0.07764,2.6958,-3.2828,190.1082,189.66188,-0.44631,187.98717,26.54196,82.36765,44372.37891,44055.76172,315.13541,44372.38281,26.5,83,1
31.12282,1084.10486,1.57887,0,11.10111,16.60111,3.35394,150.10818,172.60281,385.55075,385.53961,172.74142,443.6839,443.67108,0.6722,306.27783,1.09686,0.04972,0.00067,2.3607,-0.08246,190.30511,0.46083,-0.07159,2.81242,-3.41825,190.08208,189.63579,-0.44628,187.83542,26.54174,82.3676,44373.00391,44056.78906,314.73557,44373.00781,26.5,83,1
31.51321,1084.28589,1.75983,0,11.10116,16.60116,3.35399,157.6803,172.5925,385.53705,385.52271,181.45525,443.66815,443.65161,0.67217,308.88553,1.09527,0.04965,0.00062,2.3517,-0.08184,190.27107,0.51451,-0.06213,2.85648,-3.59095,190.04213,189.59589,-0.44624,187.61076,26.54143,82.36754,44374.01172,44058.375,314.151,44374.01562,26.5,83,1
31.61188,1084.38452,1.8585,0,11.10119,16.60119,3.35402,161.00537,172.5865,385.52902,385.51321,185.28168,443.65891,443.64069,0.67216,311.3074,1.07545,0.04844,0.0003,2.29672,-0.08511,190.252,0.5393,-0.05787,2.82582,-3.68453,190.0195,189.57329,-0.44622,187.49016,26.54125,82.3675,44374.60156,44059.28516,313.83218,44374.60547,26.5,83,1
31.72331,1084.49597,1.96994,0,11.10122,16.60122,3.35405,164.22591,172.5799,385.52078,385.50317,188.98781,443.64941,443.62915,0.67214,315.33023,1.04301,0.0465,-0.00023,2.21095,-0.09086,190.23026,0.55897,-0.05446,2.75906,-3.79837,189.99315,189.54695,-0.44619,187.35674,26.54106,82.36746,44375.29688,44060.34375,313.47214,44375.30078,26.5,83,1
31.83648,1084.60913,2.0831,0,11.10125,16.60125,3.35408,166.985,172.5741,385.51382,385.49606,192.16292,443.64142,443.62097,0.67213,320.67538,1.01207,0.0447,-0.00075,2.11909,-0.09749,190.20799,0.56819,-0.05288,2.67564,-3.92804,189.96559,189.51942,-0.44617,187.22366,26.54086,82.36742,44376.01953,44061.43359,313.10617,44376.02344,26.5,83,1
31.9353,1084.70789,2.18192,0,11.10128,16.60128,3.35411,169.02104,172.56941,385.50925,385.49118,194.50595,443.63614,443.61536,0.67212,325.99109,0.98558,0.0432,-0.0012,2.04952,-0.1028,190.18839,0.56761,-0.05311,2.60475,-4.05419,189.94095,189.4948,-0.44614,187.10811,26.54068,82.36739,44376.65625,44062.38672,312.78662,44376.66016,26.5,83,1
32.0265,1084.79761,2.2716,0,11.1013,16.6013,3.35413,170.633,172.56577,385.50613,385.48822,196.36095,443.63254,443.61194,0.67212,331.12927,0.96797,0.04223,-0.00151,2.00287,-0.10655,190.17033,0.5618,-0.0542,2.5516,-4.17925,189.91812,189.472,-0.44612,187.00281,26.54053,82.36736,44377.23047,44063.25391,312.49658,44377.23438,26.5,83,1
32.16224,1084.92578,2.39978,0,11.10134,16.60134,3.35417,172.55806,172.56075,385.50311,385.4856,198.57628,443.62909,443.60892,0.67211,338.11465,0.95279,0.04139,-0.00176,1.96902,-0.10943,190.14389,0.54762,-0.05693,2.50259,-4.37062,189.88474,189.43864,-0.44609,186.84869,26.5403,82.36731,44378.03516,44065.76172,310.79294,44378.03906,26.5,83,1
32.27088,1085.03442,2.50841,0,11.10137,16.60137,3.3542,173.89856,172.55737,385.5015,385.48486,200.1189,443.62723,443.60806,0.67211,343.22214,0.95273,0.04136,-0.00172,1.97024,-0.10924,190.12064,0.53372,-0.05951,2.48914,-4.53933,189.85583,189.40976,-0.44607,186.71291,26.54011,82.36727,44378.69922,44068.99609,308.21866,44378.69922,26.5,83,1
32.36466,1085.12817,2.6022,0,11.10139,16.60139,3.35422,174.88289,172.5546,385.50027,385.48434,201.25165,443.62582,443.60748,0.67211,346.81696,0.95933,0.0417,-0.00155,1.98994,-0.10737,190.09984,0.52276,-0.06135,2.49729,-4.68562,189.83031,189.38426,-0.44605,186.59146,26.53995,82.36724,44379.25781,44071.78125,305.99716,44379.26172,26.5,83,1
32.48106,1085.24463,2.7186,0,11.10143,16.60143,3.35426,175.9097,172.55084,385.49854,385.48325,202.43327,443.62381,443.6062,0.6721,350.08664,0.97456,0.0425,-0.00118,2.02968,-0.10341,190.07291,0.51276,-0.06259,2.52639,-4.86297,189.79784,189.35182,-0.44602,186.43475,26.53974,82.3672,44379.9375,44075.21484,303.24124,44379.94141,26.5,83,1
32.577,1085.34058,2.81454,0,11.10145,16.60145,3.35428,176.61928,172.54778,385.49664,385.48175,203.24985,443.62161,443.60449,0.6721,351.82388,0.98813,0.04324,-0.00086,2.06779,-0.0995,190.04974,0.50841,-0.06257,2.55967,-5.00247,189.77034,189.32434,-0.446,186.30095,26.53957,82.36716,44380.49219,44078.04297,300.97073,44380.49609,26.5,83,1
32.6483,1085.41187,2.88583,0,11.10147,16.60147,3.3543,177.07407,172.54523,385.49478,385.47995,203.77321,443.61951,443.60242,0.6721,352.638,0.99858,0.04382,-0.00061,2.09516,-0.09658,190.03194,0.50768,-0.0619,2.58596,-5.10147,189.74947,189.30348,-0.44598,186.19904,26.53945,82.36714,44380.90234,44078.79688,300.62677,44380.90625,26.5,83,1
32.76889,1085.52869,3.00268,0,11.10151,16.60151,3.35434,177.71365,172.54077,385.491,385.4762,204.50923,443.61514,443.59811,0.67209,353.3006,1.0126,0.04461,-0.0003,2.13293,-0.09254,190.00179,0.51037,-0.05994,2.62588,-5.25425,189.71436,189.2684,-0.44595,186.02927,26.53924,82.3671,44381.57422,44078.16797,301.92865,44381.57812,26.5,83,1
32.88702,1085.64685,3.12081,0,11.10154,16.60154,3.35437,178.23764,172.53572,385.48627,385.47092,205.11221,443.60971,443.59201,0.67208,353.4877,1.02198,0.04516,-0.0001,2.15701,-0.08989,189.97014,0.51695,-0.05714,2.65595,-5.39908,189.67772,189.2318,-0.44593,185.8551,26.53903,82.36706,44382.26172,44077.53906,303.24414,44382.26562,26.5,83,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thro1engin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__USEpuffs,__TOTpuffs,__VIS_tris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,__USEpuffs,__TOTpuffs,__VIS_tris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin
189.47174,1153.27747,70.75146,0,11.12033,16.62033,3.37315,179.78731,171.77412,386.43637,386.42911,206.89554,444.70306,444.6947,0.67374,238.38045,0.99411,0.04288,-0.00135,2.09653,-0.09777,183.58556,0.34903,-0.07698,2.44478,-0.4253,183.47223,183.04323,-0.429,183.05463,26.41869,82.35516,44669.80859,44345.54688,322.90988,44669.8125,26.5,83,1
189.5518,1153.36279,70.8368,0,11.12035,16.62035,3.37318,179.78629,171.77306,386.43704,386.42981,206.89436,444.70383,444.6955,0.67374,238.38582,0.99409,0.04288,-0.00135,2.09651,-0.09778,183.58345,0.349,-0.07702,2.44474,-0.42058,183.47029,183.04131,-0.42898,183.05591,26.41854,82.35516,44670.14453,44346.03906,322.75485,44670.14844,26.5,83,1
189.68784,1153.52576,70.99976,0,11.12039,16.62039,3.37322,179.78429,171.77106,386.43842,386.43115,206.89207,444.70541,444.69705,0.67374,238.3907,0.99406,0.04288,-0.00135,2.0965,-0.09776,183.57948,0.34893,-0.0771,2.44468,-0.41158,183.46667,183.03773,-0.42894,183.05836,26.41825,82.35513,44670.78516,44346.55078,322.88858,44670.78906,26.5,83,1
189.82402,1153.68713,71.16119,0,11.12044,16.62044,3.37327,179.78229,171.76898,386.43967,386.43243,206.88977,444.70685,444.69852,0.67375,238.388,0.99405,0.04288,-0.00135,2.09654,-0.09773,183.57564,0.34886,-0.07715,2.44466,-0.40257,183.46318,183.03429,-0.4289,183.06096,26.41796,82.35512,44671.42188,44346.94922,323.12338,44671.42578,26.5,83,1
189.95822,1153.8457,71.31967,0,11.12048,16.62048,3.37331,179.78032,171.76704,386.44104,386.43375,206.8875,444.7084,444.70004,0.67375,238.37793,0.99409,0.04288,-0.00135,2.09656,-0.09771,183.57193,0.34879,-0.07719,2.44464,-0.3935,183.45982,183.03096,-0.42886,183.0636,26.41768,82.35509,44672.04688,44347.35938,323.34027,44672.05078,26.5,83,1
190.08911,1154,71.47401,0,11.12053,16.62053,3.37335,179.77843,171.76505,386.44214,386.43491,206.88533,444.70972,444.70135,0.67375,238.36192,0.99405,0.04287,-0.00135,2.09652,-0.09772,183.56839,0.34873,-0.07723,2.44455,-0.38438,183.4566,183.02779,-0.42882,183.06633,26.4174,82.35508,44672.65625,44355.35547,315.95575,44672.66016,26.5,83,1
190.24168,1154.18213,71.65607,0,11.12058,16.62058,3.37341,179.77617,171.76276,386.4436,386.4364,206.88272,444.7114,444.70309,0.67375,238.33592,0.99399,0.04287,-0.00135,2.09644,-0.09772,183.5643,0.34863,-0.07726,2.44438,-0.37349,183.45291,183.02414,-0.42877,183.06973,26.41707,82.35506,44673.375,44359.52344,312.50092,44673.37891,26.5,83,1
190.32039,1154.26733,71.74133,0,11.1206,16.6206,3.37343,179.77515,171.76196,386.44427,386.43695,206.88155,444.71216,444.7037,0.67375,238.32118,0.99397,0.04287,-0.00135,2.0964,-0.09774,183.56241,0.34857,-0.07728,2.4443,-0.36838,183.4512,183.02245,-0.42875,183.07141,26.41692,82.35504,44673.71094,44359.25,313.11389,44673.71484,26.5,83,1
190.42084,1154.38257,71.85658,0,11.12063,16.62063,3.37346,179.77373,171.76021,386.44513,386.43793,206.87991,444.71313,444.70483,0.67375,238.29866,0.99394,0.04286,-0.00135,2.09637,-0.09774,183.55991,0.34848,-0.07731,2.4442,-0.36148,183.44893,183.0202,-0.42872,183.07373,26.41672,82.35503,44674.16406,44358.875,313.94266,44674.16797,26.5,83,1
190.51152,1154.45056,71.92458,0,11.12065,16.62065,3.37348,179.77287,171.75963,386.44565,386.43832,206.87894,444.71375,444.70529,0.67376,238.28339,0.99393,0.04286,-0.00135,2.09636,-0.09776,183.55844,0.34843,-0.07732,2.44414,-0.35742,183.4476,183.01889,-0.4287,183.07513,26.4166,82.35502,44674.43359,44358.65234,314.43185,44674.4375,26.5,83,1
190.60204,1154.59204,72.06605,0,11.12069,16.62069,3.37352,179.77107,171.75758,386.44678,386.43958,206.87686,444.71503,444.70673,0.67376,238.2477,0.99391,0.04286,-0.00135,2.09637,-0.09777,183.55544,0.34831,-0.07735,2.44405,-0.34899,183.4449,183.01624,-0.42867,183.07809,26.41634,82.355,44674.98828,44358.19141,315.44989,44674.99219,26.5,83,1
190.73465,1154.74731,72.22133,0,11.12073,16.62073,3.37356,179.76913,171.75565,386.44806,386.44086,206.87463,444.71649,444.70822,0.67376,238.20172,0.9939,0.04286,-0.00135,2.09642,-0.0978,183.55222,0.34817,-0.07739,2.44398,-0.33976,183.44199,183.01335,-0.42863,183.08148,26.41607,82.35499,44675.60156,44357.6875,316.56784,44675.60547,26.5,83,1
190.86711,1154.90515,72.37921,0,11.12078,16.62078,3.37361,179.76718,171.75366,386.44937,386.44214,206.87239,444.71799,444.70969,0.67376,238.14763,0.99393,0.04286,-0.00135,2.09642,-0.0978,183.549,0.34805,-0.07743,2.44387,-0.33057,183.4391,183.01051,-0.42859,183.08501,26.41578,82.35497,44676.22266,44357.17188,317.7049,44676.22656,26.5,83,1
190.97916,1155.04614,72.52013,0,11.12082,16.62082,3.37365,179.76541,171.75197,386.45059,386.44339,206.87035,444.71942,444.71112,0.67376,238.09361,0.99389,0.04285,-0.00135,2.09637,-0.09781,183.5462,0.34793,-0.07745,2.44372,-0.32248,183.43658,183.00803,-0.42855,183.08823,26.41553,82.35495,44676.77734,44356.71094,318.72015,44676.78125,26.5,83,1
191.11369,1155.19983,72.67381,0,11.12086,16.62086,3.37369,179.76349,171.75002,386.45175,386.44461,206.86813,444.72076,444.71252,0.67377,238.03021,0.99384,0.04285,-0.00135,2.0963,-0.09781,183.5432,0.34778,-0.07748,2.44351,-0.31366,183.43393,183.00542,-0.42851,183.0918,26.41526,82.35493,44677.37891,44356.16016,319.87631,44677.38281,26.5,83,1
191.2457,1155.3606,72.83463,0,11.1209,16.6209,3.37373,179.76147,171.74803,386.45306,386.44589,206.86581,444.72226,444.71402,0.67377,237.95721,0.9938,0.04285,-0.00135,2.09624,-0.09783,183.54013,0.3476,-0.0775,2.4433,-0.30442,183.43117,183.0027,-0.42847,183.09558,26.41497,82.35491,44678.01172,44355.54688,321.12308,44678.01562,26.5,83,1
191.3788,1155.51782,72.99186,0,11.12095,16.62095,3.37378,179.75958,171.74608,386.45444,386.4473,206.86365,444.72385,444.71561,0.67377,237.87962,0.99377,0.04284,-0.00135,2.09623,-0.09785,183.53722,0.34741,-0.07753,2.44311,-0.29541,183.42856,183.00012,-0.42843,183.09937,26.41469,82.35489,44678.62891,44354.94531,322.3425,44678.63281,26.5,83,1
191.5188,1155.68713,73.16112,0,11.12099,16.62099,3.37382,179.75752,171.74399,386.45584,386.44864,206.86127,444.72543,444.71716,0.67377,237.7876,0.99376,0.04284,-0.00135,2.09626,-0.09787,183.53413,0.3472,-0.07756,2.44295,-0.28575,183.42583,182.99744,-0.42839,183.10349,26.41438,82.35487,44679.29297,44354.29688,323.65573,44679.29688,26.5,83,1
191.65239,1155.84509,73.31909,0,11.12104,16.62104,3.37387,179.75557,171.74208,386.45724,386.45007,206.85902,444.72708,444.71881,0.67378,237.69408,0.9938,0.04284,-0.00135,2.09631,-0.09788,183.53134,0.34701,-0.07759,2.44282,-0.27671,183.42334,182.995,-0.42835,183.10745,26.4141,82.35485,44679.91406,44353.69141,324.88196,44679.91797,26.5,83,1
191.77155,1155.99243,73.4664,0,11.12108,16.62108,3.37391,179.75372,171.74028,386.4585,386.45139,206.8569,444.72852,444.72034,0.67378,237.60022,0.99377,0.04284,-0.00135,2.09629,-0.09791,183.52879,0.34683,-0.07762,2.44264,-0.26808,183.42108,182.99277,-0.42831,183.11115,26.41384,82.35483,44680.49219,44353.125,326.02582,44680.49609,26.5,83,1
191.90813,1156.15515,73.6292,0,11.12113,16.62112,3.37395,179.75169,171.73831,386.45993,386.45279,206.85457,444.73016,444.72195,0.67378,237.49115,0.99372,0.04284,-0.00135,2.09622,-0.09791,183.52605,0.34662,-0.07766,2.44238,-0.2585,183.41869,182.99042,-0.42827,183.11534,26.41355,82.35481,44681.12891,44352.5,327.29044,44681.13281,26.5,83,1
192.03947,1156.31482,73.78876,0,11.12117,16.62117,3.374,179.74973,171.73637,386.46127,386.45413,206.85229,444.73172,444.72348,0.67378,237.37796,0.99367,0.04283,-0.00135,2.09614,-0.0979,183.52344,0.34639,-0.07769,2.44209,-0.24907,183.41643,182.9882,-0.42823,183.11957,26.41326,82.35479,44681.75391,44351.88281,328.53052,44681.75781,26.5,83,1
192.12309,1156.42224,73.89623,0,11.1212,16.6212,3.37403,179.7484,171.73454,386.46069,386.45377,206.85077,444.73105,444.72305,0.67378,237.29784,0.99342,0.04194,-0.00339,2.09616,-0.10304,183.52164,0.34616,-0.07937,2.44215,-0.08755,183.41541,182.98721,-0.4282,183.12477,26.41307,82.35478,44682.17578,44351.46875,329.36591,44682.17969,26.5,83,1
192.19441,1156.49353,73.96756,0,11.12122,16.62122,3.37405,179.7475,171.73296,386.46008,386.45306,206.84973,444.73032,444.72226,0.67378,237.24338,0.99345,0.04195,-0.00459,2.09625,-0.10815,183.52078,0.346,-0.08481,2.44246,0.11112,183.4167,182.98853,-0.42818,183.1373,26.41294,82.35477,44682.45312,44351.19141,329.92056,44682.45703,26.5,83,1
192.33427,1156.66077,74.13476,0,11.12127,16.62127,3.37409,179.7453,171.72969,386.45874,386.45172,206.8472,444.72879,444.7207,0.67378,237.10274,0.99369,0.04197,-0.00533,2.09699,-0.11331,183.52122,0.34569,-0.10124,2.44384,0.65657,183.43195,183.00381,-0.42814,183.20456,26.41265,82.35475,44683.10938,44350.54688,331.22101,44683.11328,26.5,83,1
192.47627,1156.83179,74.30579,0,11.12131,16.62131,3.37414,179.74286,171.72621,386.45697,386.45007,206.84439,444.72678,444.71881,0.67378,236.94589,0.9941,0.04174,-0.00491,2.09831,-0.10673,183.52649,0.3455,-0.11743,2.44566,1.27508,183.46646,183.03836,-0.42809,183.33397,26.41234,82.35473,44683.77734,44349.88281,332.55188,44683.78125,26.5,83,1
